,Provincia,P-t,INE
57,Murcia,59540,30
52,Alicante,20960,3
24,Barcelona,3420,8
66,Granada,2587,18
27,Tarragona,2112,43
54,Valencia,2100,46
63,Almería,1232,4
70,Sevilla,1000,41
30,Islas Baleares,653,7
69,Málaga,625,29
64,Cádiz,490,11
25,Girona,354,17
17,La Rioja,275,26
15,Navarra,195,31
53,Castellón,163,12
37,Segovia,60,40
49,Toledo,55,45
68,Jaén,34,23
21,Zaragoza,30,50
26,Lleida,26,25
43,Madrid,20,28
8,Cantabria,8,39
67,Huelva,0,21
3,Pontevedra,0,36
65,Córdoba,0,14
6,Asturias,0,33
2,Ourense,0,32
60,Cáceres,0,10
59,Badajoz,0,6
10,Álava,0,1
11,Gipuzkoa,0,20
12,Vizcaya,0,48
19,Huesca,0,22
48,Guadalajara,0,19
47,Cuenca,0,16
46,Ciudad Real,0,13
45,Albacete,0,2
40,Zamora,0,49
39,Valladolid,0,47
38,Soria,0,42
1,Lugo,0,27
36,Salamanca,0,37
35,Palencia,0,34
34,León,0,24
33,Burgos,0,9
32,Ávila,0,5
20,Teruel,0,44
0,A Coruña,0,15
