,Provincia,P-t,INE
52,Alicante,12285,3
54,Valencia,8200,46
39,Valladolid,5575,47
70,Sevilla,4375,41
15,Navarra,3245,31
64,Cádiz,3128,11
59,Badajoz,2590,6
49,Toledo,2128,45
46,Ciudad Real,2068,13
27,Tarragona,1838,43
53,Castellón,1785,12
21,Zaragoza,1782,50
57,Murcia,1553,30
67,Huelva,1400,21
43,Madrid,1298,28
30,Islas Baleares,1205,7
60,Cáceres,1089,10
66,Granada,1059,18
40,Zamora,775,49
68,Jaén,760,23
24,Barcelona,708,8
37,Segovia,625,40
63,Almería,535,4
20,Teruel,512,44
69,Málaga,464,29
26,Lleida,462,25
45,Albacete,400,2
36,Salamanca,396,37
12,Vizcaya,342,48
19,Huesca,341,22
65,Córdoba,182,14
17,La Rioja,156,26
6,Asturias,135,33
11,Gipuzkoa,128,20
34,León,100,24
25,Girona,56,17
10,Álava,34,1
32,Ávila,24,5
8,Cantabria,16,39
3,Pontevedra,0,36
2,Ourense,0,32
35,Palencia,0,34
48,Guadalajara,0,19
47,Cuenca,0,16
33,Burgos,0,9
38,Soria,0,42
1,Lugo,0,27
0,A Coruña,0,15
