,Provincia,P-t,INE
15,Navarra,12508,31
54,Valencia,4592,46
17,La Rioja,1800,26
65,Córdoba,520,14
52,Alicante,396,3
21,Zaragoza,330,50
53,Castellón,250,12
68,Jaén,230,23
64,Cádiz,173,11
24,Barcelona,162,8
69,Málaga,120,29
57,Murcia,114,30
43,Madrid,90,28
38,Soria,60,42
12,Vizcaya,40,48
48,Guadalajara,28,19
25,Girona,27,17
10,Álava,26,1
66,Granada,23,18
49,Toledo,0,45
47,Cuenca,0,16
46,Ciudad Real,0,13
0,A Coruña,0,15
59,Badajoz,0,6
60,Cáceres,0,10
63,Almería,0,4
67,Huelva,0,21
45,Albacete,0,2
37,Segovia,0,40
40,Zamora,0,49
26,Lleida,0,25
2,Ourense,0,32
3,Pontevedra,0,36
6,Asturias,0,33
8,Cantabria,0,39
11,Gipuzkoa,0,20
19,Huesca,0,22
20,Teruel,0,44
27,Tarragona,0,43
39,Valladolid,0,47
30,Islas Baleares,0,7
32,Ávila,0,5
33,Burgos,0,9
34,León,0,24
35,Palencia,0,34
36,Salamanca,0,37
1,Lugo,0,27
70,Sevilla,0,41
