,Provincia,P-t,INE
45,Albacete,342600.0,2
46,Ciudad Real,216400.0,13
49,Toledo,72144.0,45
47,Cuenca,66372.0,16
54,Valencia,62355.0,46
57,Murcia,47505.0,30
65,Córdoba,47227.0,14
21,Zaragoza,42492.0,50
70,Sevilla,41300.0,41
39,Valladolid,23975.0,47
69,Málaga,21885.0,29
52,Alicante,19985.0,3
15,Navarra,17122.0,31
26,Lleida,16947.0,25
43,Madrid,15878.0,28
66,Granada,13236.0,18
3,Pontevedra,12095.0,36
0,A Coruña,12016.0,15
32,Ávila,10980.0,5
27,Tarragona,10785.0,43
37,Segovia,10440.0,40
2,Ourense,10400.0,32
68,Jaén,9350.0,23
24,Barcelona,9200.0,8
19,Huesca,7525.0,22
64,Cádiz,6875.0,11
1,Lugo,6510.0,27
33,Burgos,5500.0,9
35,Palencia,5150.0,34
53,Castellón,4927.0,12
25,Girona,4797.0,17
67,Huelva,3750.0,21
30,Islas Baleares,3703.0,7
17,La Rioja,2970.0,26
40,Zamora,2496.0,49
59,Badajoz,2366.0,6
63,Almería,2186.0,4
6,Asturias,2150.0,33
48,Guadalajara,1820.0,19
38,Soria,1456.0,42
36,Salamanca,832.0,37
12,Vizcaya,783.0,48
20,Teruel,736.0,44
34,León,582.0,24
10,Álava,535.0,1
60,Cáceres,450.0,10
11,Gipuzkoa,371.0,20
8,Cantabria,138.0,39
