,Provincia,P-t,INE
60,Cáceres,27935,10
21,Zaragoza,22378,50
27,Tarragona,6445,43
52,Alicante,4102,3
66,Granada,3518,18
68,Jaén,2982,23
19,Huesca,2919,22
17,La Rioja,2744,26
26,Lleida,2511,25
0,A Coruña,2279,15
57,Murcia,1982,30
34,León,1800,24
2,Ourense,1599,32
33,Burgos,1500,9
53,Castellón,1381,12
24,Barcelona,1022,8
36,Salamanca,1000,37
15,Navarra,913,31
1,Lugo,828,27
32,Ávila,750,5
45,Albacete,580,2
3,Pontevedra,533,36
25,Girona,356,17
20,Teruel,286,44
69,Málaga,259,29
65,Córdoba,233,14
35,Palencia,201,34
59,Badajoz,163,6
10,Álava,158,1
11,Gipuzkoa,127,20
12,Vizcaya,117,48
47,Cuenca,109,16
54,Valencia,100,46
63,Almería,93,4
48,Guadalajara,44,19
70,Sevilla,40,41
6,Asturias,25,33
49,Toledo,22,45
40,Zamora,20,49
30,Islas Baleares,20,7
43,Madrid,16,28
37,Segovia,16,40
46,Ciudad Real,14,13
64,Cádiz,4,11
8,Cantabria,1,39
39,Valladolid,0,47
38,Soria,0,42
67,Huelva,0,21
