,Provincia,P-t,INE
37,Segovia,3168,40
39,Valladolid,2398,47
15,Navarra,1906,31
70,Sevilla,105,41
69,Málaga,52,29
8,Cantabria,4,39
6,Asturias,0,33
54,Valencia/València,0,46
43,Madrid,0,28
45,Albacete,0,2
46,Ciudad Real,0,13
47,Cuenca,0,16
48,Guadalajara,0,19
49,Toledo,0,45
52,Alacant/Alicante,0,3
53,Castellón/Castelló,0,12
57,Murcia,0,30
59,Badajoz,0,6
60,Cáceres,0,10
63,Almería,0,4
64,Cádiz,0,11
65,Córdoba,0,14
66,Granada,0,18
67,Huelva,0,21
68,Jaén,0,23
40,Zamora,0,49
2,Ourense,0,32
38,Soria,0,42
24,Barcelona,0,8
10,Araba/Álava,0,1
11,Gipuzkoa,0,20
12,Bizkaia,0,48
3,Pontevedra,0,36
17,La Rioja,0,26
19,Huesca,0,22
20,Teruel,0,44
21,Zaragoza,0,50
25,Girona,0,17
1,Lugo,0,27
26,Lleida,0,25
27,Tarragona,0,43
30,Illes Balears,0,7
32,Ávila,0,5
33,Burgos,0,9
34,León,0,24
35,Palencia,0,34
36,Salamanca,0,37
0,A Coruña,0,15
