,Provincia,P-t,INE
66,Granada,34521,18
15,Navarra,4538,31
48,Guadalajara,3835,19
59,Badajoz,3202,6
69,Málaga,2794,29
60,Cáceres,2127,10
70,Sevilla,1600,41
64,Cádiz,1344,11
68,Jaén,1320,23
65,Córdoba,1084,14
43,Madrid,495,28
49,Toledo,348,45
39,Valladolid,308,47
21,Zaragoza,279,50
63,Almería,231,4
17,La Rioja,205,26
46,Ciudad Real,195,13
37,Segovia,60,40
40,Zamora,59,49
32,Ávila,52,5
20,Teruel,48,44
34,León,39,24
57,Murcia,34,30
19,Huesca,23,22
24,Barcelona,13,8
67,Huelva,8,21
53,Castellón/Castelló,6,12
10,Araba/Álava,3,1
11,Gipuzkoa,0,20
12,Bizkaia,0,48
8,Cantabria,0,39
6,Asturias,0,33
3,Pontevedra,0,36
2,Ourense,0,32
54,Valencia/València,0,46
30,Illes Balears,0,7
52,Alacant/Alicante,0,3
47,Cuenca,0,16
25,Girona,0,17
45,Albacete,0,2
26,Lleida,0,25
27,Tarragona,0,43
38,Soria,0,42
1,Lugo,0,27
36,Salamanca,0,37
35,Palencia,0,34
33,Burgos,0,9
0,A Coruña,0,15
