,Provincia,P-t,INE
19,Huesca,15410,22
15,Navarra,15145,31
17,La Rioja,10891,26
45,Albacete,10500,2
39,Valladolid,8268,47
21,Zaragoza,4722,50
49,Toledo,2930,45
66,Granada,1832,18
40,Zamora,1673,49
59,Badajoz,1485,6
64,Cádiz,1115,11
69,Málaga,948,29
33,Burgos,920,9
52,Alacant/Alicante,888,3
46,Ciudad Real,630,13
37,Segovia,600,40
57,Murcia,595,30
24,Barcelona,489,8
63,Almería,480,4
32,Ávila,476,5
53,Castellón/Castelló,456,12
35,Palencia,450,34
54,Valencia/València,395,46
70,Sevilla,375,41
0,A Coruña,340,15
10,Araba/Álava,312,1
47,Cuenca,255,16
25,Girona,254,17
3,Pontevedra,233,36
2,Ourense,175,32
65,Córdoba,160,14
12,Bizkaia,142,48
1,Lugo,127,27
11,Gipuzkoa,110,20
6,Asturias,80,33
68,Jaén,75,23
26,Lleida,72,25
27,Tarragona,60,43
36,Salamanca,14,37
30,Illes Balears,8,7
8,Cantabria,6,39
48,Guadalajara,0,19
20,Teruel,0,44
38,Soria,0,42
60,Cáceres,0,10
43,Madrid,0,28
34,León,0,24
67,Huelva,0,21
