,Provincia,P-t,INE
57,Murcia,8009,30
52,Alicante,5844,3
66,Granada,4749,18
15,Navarra,4659,31
63,Almería,4575,4
70,Sevilla,3700,41
69,Málaga,3420,29
65,Córdoba,3186,14
68,Jaén,2367,23
24,Barcelona,2304,8
25,Girona,1122,17
67,Huelva,825,21
53,Castellón,720,12
64,Cádiz,625,11
27,Tarragona,520,43
54,Valencia,465,46
49,Toledo,410,45
43,Madrid,333,28
45,Albacete,301,2
59,Badajoz,120,6
17,La Rioja,115,26
12,Vizcaya,102,48
6,Asturias,91,33
10,Álava,88,1
26,Lleida,85,25
60,Cáceres,82,10
46,Ciudad Real,70,13
11,Gipuzkoa,67,20
30,Islas Baleares,35,7
36,Salamanca,18,37
8,Cantabria,9,39
48,Guadalajara,0,19
0,A Coruña,0,15
47,Cuenca,0,16
40,Zamora,0,49
39,Valladolid,0,47
38,Soria,0,42
1,Lugo,0,27
35,Palencia,0,34
34,León,0,24
33,Burgos,0,9
32,Ávila,0,5
21,Zaragoza,0,50
20,Teruel,0,44
19,Huesca,0,22
3,Pontevedra,0,36
2,Ourense,0,32
37,Segovia,0,40
