,Provincia,P-t,INE
59,Badajoz,4810,6
60,Cáceres,4275,10
26,Lleida,2605,25
49,Toledo,2250,45
52,Alacant/Alicante,2062,3
0,A Coruña,1698,15
32,Ávila,1650,5
66,Granada,1395,18
2,Ourense,690,32
54,Valencia/València,470,46
57,Murcia,455,30
1,Lugo,374,27
3,Pontevedra,370,36
70,Sevilla,350,41
27,Tarragona,342,43
30,Illes Balears,300,7
69,Málaga,262,29
24,Barcelona,224,8
19,Huesca,192,22
68,Jaén,165,23
67,Huelva,140,21
12,Bizkaia,118,48
65,Córdoba,81,14
63,Almería,78,4
25,Girona,68,17
11,Gipuzkoa,60,20
47,Cuenca,57,16
17,La Rioja,51,26
10,Araba/Álava,47,1
6,Asturias,45,33
46,Ciudad Real,43,13
21,Zaragoza,42,50
15,Navarra,39,31
43,Madrid,36,28
35,Palencia,27,34
37,Segovia,20,40
20,Teruel,13,44
40,Zamora,10,49
53,Castellón/Castelló,10,12
34,León,8,24
33,Burgos,4,9
39,Valladolid,4,47
8,Cantabria,2,39
64,Cádiz,1,11
38,Soria,0,42
48,Guadalajara,0,19
45,Albacete,0,2
36,Salamanca,0,37
