,Provincia,P-t,INE
63,Almería,32563,4
66,Granada,29755,18
0,A Coruña,19144,15
17,La Rioja,16510,26
1,Lugo,10150,27
3,Pontevedra,10123,36
15,Navarra,9767,31
69,Málaga,8752,29
2,Ourense,8405,32
53,Castellón/Castelló,5040,12
24,Barcelona,2524,8
25,Girona,2501,17
39,Valladolid,2400,47
27,Tarragona,2244,43
12,Bizkaia,1544,48
54,Valencia/València,1120,46
26,Lleida,1101,25
45,Albacete,1000,2
65,Córdoba,924,14
10,Araba/Álava,924,1
11,Gipuzkoa,779,20
49,Toledo,776,45
52,Alacant/Alicante,696,3
21,Zaragoza,696,50
64,Cádiz,682,11
35,Palencia,670,34
32,Ávila,661,5
57,Murcia,560,30
37,Segovia,500,40
68,Jaén,488,23
33,Burgos,420,9
6,Asturias,328,33
30,Illes Balears,201,7
38,Soria,175,42
20,Teruel,132,44
70,Sevilla,116,41
36,Salamanca,112,37
46,Ciudad Real,100,13
34,León,70,24
8,Cantabria,61,39
40,Zamora,20,49
19,Huesca,17,22
43,Madrid,12,28
60,Cáceres,0,10
67,Huelva,0,21
48,Guadalajara,0,19
47,Cuenca,0,16
59,Badajoz,0,6
