fila,subfila,columna,subcolumna,valor
"081050 Kiwis, frescos",,Total Mundo,IMPORT,"149088,03"
"081050 Kiwis, frescos",,001 Francia,IMPORT,"3518,33"
"081050 Kiwis, frescos",,002 Bélgica y Luxemburgo (h.31/12/98),IMPORT,
"081050 Kiwis, frescos",,003 Países Bajos,IMPORT,"646,64"
"081050 Kiwis, frescos",,004 Alemania,IMPORT,"280,75"
"081050 Kiwis, frescos",,005 Italia,IMPORT,"32759,13"
"081050 Kiwis, frescos",,006 Reino Unido,IMPORT,"853,42"
"081050 Kiwis, frescos",,007 Irlanda,IMPORT,
"081050 Kiwis, frescos",,008 Dinamarca,IMPORT,
"081050 Kiwis, frescos",,009 Grecia,IMPORT,"13412,57"
"081050 Kiwis, frescos",,010 Portugal (d.01/01/86),IMPORT,"10845,56"
"081050 Kiwis, frescos",,011 España (excp.Ceuta y Melilla)(d.01/01/86),IMPORT,
"081050 Kiwis, frescos",,017 Bélgica (d.01/01/99),IMPORT,"31250,46"
"081050 Kiwis, frescos",,018 Luxemburgo (d.01/01/99),IMPORT,
"081050 Kiwis, frescos",,021 Ceuta (d.01/01/99); Islas Canarias (h.31/12/96),IMPORT,
"081050 Kiwis, frescos",,022 Ceuta y Melilla (h. 1998),IMPORT,
"081050 Kiwis, frescos",,023 Melilla (d.01/01/99),IMPORT,
"081050 Kiwis, frescos",,024 Islandia,IMPORT,
"081050 Kiwis, frescos",,025 Islas Feroe (h.31/12/92),IMPORT,
"081050 Kiwis, frescos",,027 Svalbard (archipiélago) (h.31/12/00),IMPORT,
"081050 Kiwis, frescos",,028 Noruega,IMPORT,
"081050 Kiwis, frescos",,030 Suecia,IMPORT,
"081050 Kiwis, frescos",,032 Finlandia,IMPORT,
"081050 Kiwis, frescos",,036 Suiza (h.31/12/94),IMPORT,
"081050 Kiwis, frescos",,037 Liechtenstein,IMPORT,
"081050 Kiwis, frescos",,038 Austria,IMPORT,
"081050 Kiwis, frescos",,039 Suiza (d.01/01/95),IMPORT,
"081050 Kiwis, frescos",,040 Portugal (h. 1985),IMPORT,
"081050 Kiwis, frescos",,041 Islas Feroe (d.01/01/93),IMPORT,
"081050 Kiwis, frescos",,043 Andorra,IMPORT,
"081050 Kiwis, frescos",,044 Gibraltar,IMPORT,
"081050 Kiwis, frescos",,045 Ciudad del Vaticano,IMPORT,
"081050 Kiwis, frescos",,046 Malta,IMPORT,
"081050 Kiwis, frescos",,047 San Marino,IMPORT,
"081050 Kiwis, frescos",,048 Yugoslavia (h.31/12/91),IMPORT,
"081050 Kiwis, frescos",,052 Turquía,IMPORT,
"081050 Kiwis, frescos",,053 Estonia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,054 Letonia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,055 Lituania (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,056 Unión Soviética (h.31/05/92),IMPORT,
"081050 Kiwis, frescos",,058 R.D. Alemania (h.31/12/90),IMPORT,
"081050 Kiwis, frescos",,060 Polonia,IMPORT,
"081050 Kiwis, frescos",,061 República Checa (d.01/01/93),IMPORT,
"081050 Kiwis, frescos",,062 Checoslovaquia (h.31/12/92),IMPORT,
"081050 Kiwis, frescos",,063 Eslovaquia (d.01/01/93),IMPORT,
"081050 Kiwis, frescos",,064 Hungría,IMPORT,
"081050 Kiwis, frescos",,066 Rumanía,IMPORT,"21,10"
"081050 Kiwis, frescos",,068 Bulgaria,IMPORT,
"081050 Kiwis, frescos",,070 Albania,IMPORT,
"081050 Kiwis, frescos",,072 Ucrania (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,073 Bielorrusia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,074 Moldavia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,075 Rusia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,076 Georgia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,077 Armenia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,078 Azerbaiján (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,079 Kazajstán (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,080 Turkmenistán (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,081 Uzbekistán (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,082 Tajikistán (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,083 Kirguizistán (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,090 Yugoslavia (h.31/12/92),IMPORT,
"081050 Kiwis, frescos",,091 Eslovenia (d.01/01/92),IMPORT,"143,98"
"081050 Kiwis, frescos",,092 Croacia (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,093 Bosnia-Herzegovina (d.01/01/92),IMPORT,
"081050 Kiwis, frescos",,094 Serbia y Montenegro(h.31/05/05);Yug.(h.31/12/98),IMPORT,
"081050 Kiwis, frescos",,095 Kosovo (d.01/06/05),IMPORT,
"081050 Kiwis, frescos",,096 Macedonia (d.01/01/00); R.Yug.Macedonia (h.31/12/99),IMPORT,
"081050 Kiwis, frescos",,097 Montenegro (d.01/06/05),IMPORT,
"081050 Kiwis, frescos",,098 Serbia (d.01/06/05),IMPORT,
"081050 Kiwis, frescos",,099 Kosovo (sólo Noviembre-2000),IMPORT,
"081050 Kiwis, frescos",,204 Marruecos,IMPORT,"0,81"
"081050 Kiwis, frescos",,208 Argelia,IMPORT,
"081050 Kiwis, frescos",,212 Túnez,IMPORT,
"081050 Kiwis, frescos",,216 Libia,IMPORT,
"081050 Kiwis, frescos",,220 Egipto,IMPORT,
"081050 Kiwis, frescos",,224 Sudán,IMPORT,
