,Provincia,P-t,INE
34,León,768133.0,24.0
19,Huesca,644655.0,22.0
59,Badajoz,446362.0,6.0
50,,341591.0,
26,Lleida,276059.0,25.0
60,Cáceres,267588.0,10.0
40,Zamora,240630.0,49.0
21,Zaragoza,237280.0,50.0
36,Salamanca,223318.0,37.0
70,Sevilla,212331.0,41.0
15,Navarra,197606.0,31.0
45,Albacete,146300.0,2.0
39,Valladolid,108948.0,47.0
25,Girona,84683.0,17.0
49,Toledo,79403.0,45.0
43,Madrid,77105.0,28.0
0,A Coruña,67717.0,15.0
46,Ciudad Real,64395.0,13.0
65,Córdoba,59279.0,14.0
3,Pontevedra,49498.0,36.0
35,Palencia,40450.0,34.0
20,Teruel,37990.0,44.0
48,Guadalajara,37836.0,19.0
64,Cádiz,36800.0,11.0
66,Granada,32107.0,18.0
32,Ávila,21695.0,5.0
68,Jaén,17000.0,23.0
1,Lugo,16236.0,27.0
2,Ourense,15530.0,32.0
47,Cuenca,13657.0,16.0
33,Burgos,10983.0,9.0
17,La Rioja,6297.0,26.0
52,Alacant/Alicante,4032.0,3.0
54,Valencia/València,3391.0,46.0
57,Murcia,3365.0,30.0
67,Huelva,2426.0,21.0
38,Soria,2376.0,42.0
69,Málaga,2224.0,29.0
27,Tarragona,1098.0,43.0
37,Segovia,1030.0,40.0
30,Illes Balears,1000.0,7.0
6,Asturias,840.0,33.0
11,Gipuzkoa,827.0,20.0
24,Barcelona,481.0,8.0
12,Bizkaia,465.0,48.0
53,Castellón/Castelló,405.0,12.0
8,Cantabria,346.0,39.0
10,Araba/Álava,37.0,1.0
63,Almería,28.0,4.0
