,Provincia,P-t,INE
26,Lleida,196135.0,25
25,Girona,78591.0,17
21,Zaragoza,66145.0,50
0,A Coruña,42887.0,15
1,Lugo,27534.0,27
2,Ourense,21947.0,32
19,Huesca,20206.0,22
3,Pontevedra,19874.0,36
6,Asturias,17625.0,33
38,Soria,17000.0,42
15,Navarra,14317.0,31
34,León,12200.0,24
11,Gipuzkoa,10097.0,20
17,La Rioja,8713.0,26
52,Alacant/Alicante,7519.0,3
66,Granada,5856.0,18
40,Zamora,4750.0,49
12,Bizkaia,3258.0,48
33,Burgos,2800.0,9
54,Valencia/València,2000.0,46
57,Murcia,1735.0,30
24,Barcelona,1593.0,8
27,Tarragona,1450.0,43
65,Córdoba,1243.0,14
35,Palencia,1200.0,34
46,Ciudad Real,1160.0,13
32,Ávila,1065.0,5
10,Araba/Álava,1061.0,1
53,Castellón/Castelló,800.0,12
68,Jaén,570.0,23
69,Málaga,557.0,29
30,Illes Balears,419.0,7
45,Albacete,400.0,2
49,Toledo,380.0,45
67,Huelva,375.0,21
59,Badajoz,365.0,6
20,Teruel,283.0,44
63,Almería,269.0,4
60,Cáceres,238.0,10
47,Cuenca,225.0,16
43,Madrid,178.0,28
70,Sevilla,160.0,41
37,Segovia,80.0,40
8,Cantabria,79.0,39
36,Salamanca,75.0,37
48,Guadalajara,61.0,19
39,Valladolid,47.0,47
64,Cádiz,30.0,11
