,Provincia,P-t,INE
37,Segovia,2000,40
52,Alacant/Alicante,1680,3
19,Huesca,1210,22
54,Valencia/València,1100,46
17,La Rioja,552,26
69,Málaga,500,29
65,Córdoba,351,14
30,Illes Balears,238,7
70,Sevilla,221,41
59,Badajoz,204,6
49,Toledo,168,45
57,Murcia,96,30
67,Huelva,78,21
66,Granada,73,18
25,Girona,64,17
21,Zaragoza,44,50
64,Cádiz,40,11
6,Asturias,30,33
24,Barcelona,21,8
48,Guadalajara,0,19
8,Cantabria,0,39
53,Castellón/Castelló,0,12
15,Navarra,0,31
60,Cáceres,0,10
63,Almería,0,4
46,Ciudad Real,0,13
3,Pontevedra,0,36
68,Jaén,0,23
2,Ourense,0,32
47,Cuenca,0,16
43,Madrid,0,28
45,Albacete,0,2
33,Burgos,0,9
11,Gipuzkoa,0,20
20,Teruel,0,44
26,Lleida,0,25
27,Tarragona,0,43
10,Araba/Álava,0,1
32,Ávila,0,5
34,León,0,24
12,Bizkaia,0,48
35,Palencia,0,34
36,Salamanca,0,37
1,Lugo,0,27
38,Soria,0,42
39,Valladolid,0,47
40,Zamora,0,49
0,A Coruña,0,15
