,Provincia,P-t,INE
26,Lleida,167857,25
57,Murcia,120852,30
19,Huesca,115466,22
59,Badajoz,68802,6
70,Sevilla,63073,41
21,Zaragoza,47038,50
54,Valencia,19180,46
67,Huelva,12640,21
60,Cáceres,9027,10
27,Tarragona,8200,43
17,La Rioja,2286,26
15,Navarra,2256,31
45,Albacete,1920,2
52,Alicante,1360,3
65,Córdoba,1065,14
30,Islas Baleares,527,7
25,Girona,525,17
20,Teruel,180,44
24,Barcelona,161,8
66,Granada,82,18
53,Castellón,41,12
63,Almería,33,4
64,Cádiz,2,11
68,Jaén,0,23
69,Málaga,0,29
49,Toledo,0,45
48,Guadalajara,0,19
47,Cuenca,0,16
46,Ciudad Real,0,13
0,A Coruña,0,15
43,Madrid,0,28
40,Zamora,0,49
2,Ourense,0,32
3,Pontevedra,0,36
6,Asturias,0,33
8,Cantabria,0,39
10,Álava,0,1
11,Gipuzkoa,0,20
12,Vizcaya,0,48
32,Ávila,0,5
33,Burgos,0,9
34,León,0,24
35,Palencia,0,34
36,Salamanca,0,37
1,Lugo,0,27
38,Soria,0,42
39,Valladolid,0,47
37,Segovia,0,40
