fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,Total modo transporte,"3905533,92"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,001 Francia,Total modo transporte,"411847,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,001 Francia,Total modo transporte,"568596,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,001 Francia,Total modo transporte,"521025,54"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,001 Francia,Total modo transporte,"556543,11"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,001 Francia,Total modo transporte,"651483,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,001 Francia,Total modo transporte,"1196037,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,1  Marítimo,"2160,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,001 Francia,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,001 Francia,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,001 Francia,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,001 Francia,1  Marítimo,"2160,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,001 Francia,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,001 Francia,1  Marítimo,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,2  Ferrocarril,"360,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,001 Francia,2  Ferrocarril,"360,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,001 Francia,2  Ferrocarril,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,3  Carretera,"3903013,92"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,001 Francia,3  Carretera,"411847,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,001 Francia,3  Carretera,"568596,70"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,001 Francia,3  Carretera,"521025,54"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,001 Francia,3  Carretera,"554023,11"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,001 Francia,3  Carretera,"651483,10"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,001 Francia,3  Carretera,"1196037,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,Total modo transporte,"5124138,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,003 Países Bajos,Total modo transporte,"324972,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,003 Países Bajos,Total modo transporte,"173009,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,003 Países Bajos,Total modo transporte,"129344,29"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,003 Países Bajos,Total modo transporte,"184003,67"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,003 Países Bajos,Total modo transporte,"138514,68"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,003 Países Bajos,Total modo transporte,"4174294,57"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,003 Países Bajos,3  Carretera,"5124138,74"
"0541 PATATAS, FRESCAS O REFRIGERADA",Noviembre de 2016,003 Países Bajos,3  Carretera,"324972,53"
"0541 PATATAS, FRESCAS O REFRIGERADA",Diciembre de 2016,003 Países Bajos,3  Carretera,"173009,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Octubre de 2016,003 Países Bajos,3  Carretera,"129344,29"
"0541 PATATAS, FRESCAS O REFRIGERADA",Septiembre de 2016,003 Países Bajos,3  Carretera,"184003,67"
"0541 PATATAS, FRESCAS O REFRIGERADA",Agosto de 2016,003 Países Bajos,3  Carretera,"138514,68"
"0541 PATATAS, FRESCAS O REFRIGERADA",Julio de 2016,003 Países Bajos,3  Carretera,"4174294,57"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,004 Alemania,Total modo transporte,"15169396,15"
