,producto,fecha,pais,transporte,kg,tipo
5,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Francia, Carretera,1037401.54,export
6,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Francia, Carretera,1837330.35,export
7,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Francia, Carretera,1160828.16,export
9,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Francia, Tráfico postal,0.0,export
10,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Francia, Tráfico postal,2000.0,export
11,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Francia, Tráfico postal,0.0,export
17,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Países Bajos, Marítimo,85485.0,export
18,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Países Bajos, Marítimo,41360.0,export
19,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Países Bajos, Marítimo,23700.0,export
21,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Países Bajos, Carretera,1864444.0,export
22,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Países Bajos, Carretera,995246.1,export
23,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Países Bajos, Carretera,45104.2,export
29,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Alemania, Marítimo,647977.0,export
30,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Alemania, Marítimo,218744.0,export
31,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Alemania, Marítimo,0.0,export
33,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Alemania, Carretera,27630430.48,export
34,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Alemania, Carretera,9571713.0,export
35,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Alemania, Carretera,517123.2,export
41,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Italia, Carretera,790586.8,export
42,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Italia, Carretera,1698008.14,export
43,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Italia, Carretera,1612240.05,export
49,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Reino Unido, Marítimo,301516.0,export
50,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Reino Unido, Marítimo,719614.0,export
51,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Reino Unido, Marítimo,309470.0,export
53,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Reino Unido, Carretera,3478317.0,export
54,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Reino Unido, Carretera,1721821.0,export
55,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Reino Unido, Carretera,319267.0,export
61,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Irlanda, Marítimo,2400.0,export
62,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Irlanda, Marítimo,0.0,export
63,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Irlanda, Marítimo,0.0,export
65,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Irlanda, Carretera,231782.3,export
66,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Irlanda, Carretera,32776.8,export
67,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Irlanda, Carretera,43183.6,export
73,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Dinamarca, Marítimo,40669.0,export
74,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Dinamarca, Marítimo,1035384.0,export
75,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Dinamarca, Marítimo,156830.0,export
77,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Dinamarca, Carretera,249387.0,export
78,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Dinamarca, Carretera,321196.0,export
79,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Dinamarca, Carretera,597292.0,export
85,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Grecia, Carretera,0.0,export
86,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Grecia, Carretera,11250.0,export
87,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Grecia, Carretera,2520.0,export
93,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Portugal, Carretera,2683466.05,export
94,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Portugal, Carretera,2348596.87,export
95,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Portugal, Carretera,4613309.95,export
101,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Bélgica, Carretera,9912633.76,export
102,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Bélgica, Carretera,7129639.98,export
103,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Bélgica, Carretera,381249.56,export
109,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Noruega, Carretera,479840.0,export
110,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Noruega, Carretera,936656.0,export
111,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-04-01 00:00:00, Noruega, Carretera,0.0,export
117,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-06-01 00:00:00, Suecia, Carretera,3525.0,export
118,"0541 PATATAS, FRESCAS O REFRIGERADA",2017-05-01 00:00:00, Suecia, Carretera,0.0,export
