fila,subfila,columna,subcolumna,valor
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,Total modo transporte,"446175061,87"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,Total Mundo,Total modo transporte,"82701097,33"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,Total Mundo,Total modo transporte,"90624995,63"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,Total Mundo,Total modo transporte,"103956531,12"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,Total Mundo,Total modo transporte,"82917675,31"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,Total Mundo,Total modo transporte,"55002222,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,Total Mundo,Total modo transporte,"30972539,99"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,1  Marítimo,"38968638,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,Total Mundo,1  Marítimo,"7651344,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,Total Mundo,1  Marítimo,"6362967,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,Total Mundo,1  Marítimo,"14056717,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,Total Mundo,1  Marítimo,"7707636,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,Total Mundo,1  Marítimo,"2208296,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,Total Mundo,1  Marítimo,"981678,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,3  Carretera,"407206420,37"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,Total Mundo,3  Carretera,"75049749,83"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,Total Mundo,3  Carretera,"84262028,63"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,Total Mundo,3  Carretera,"89899814,12"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,Total Mundo,3  Carretera,"75210039,31"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,Total Mundo,3  Carretera,"52793926,50"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,Total Mundo,3  Carretera,"29990861,99"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,Total Mundo,4  Aire,"3,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,Total Mundo,4  Aire,"3,00"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,Total Mundo,4  Aire,
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,Total modo transporte,"320733407,64"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,001 Francia,Total modo transporte,"61141273,63"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,001 Francia,Total modo transporte,"71680522,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,001 Francia,Total modo transporte,"72165315,33"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,001 Francia,Total modo transporte,"57935136,17"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,001 Francia,Total modo transporte,"38776906,43"
"0541 PATATAS, FRESCAS O REFRIGERADA",Junio de 2016,001 Francia,Total modo transporte,"19034254,04"
"0541 PATATAS, FRESCAS O REFRIGERADA",Total seleccionado,001 Francia,3  Carretera,"320733407,64"
"0541 PATATAS, FRESCAS O REFRIGERADA",Enero de 2016,001 Francia,3  Carretera,"61141273,63"
"0541 PATATAS, FRESCAS O REFRIGERADA",Febrero de 2016,001 Francia,3  Carretera,"71680522,05"
"0541 PATATAS, FRESCAS O REFRIGERADA",Marzo de 2016,001 Francia,3  Carretera,"72165315,33"
"0541 PATATAS, FRESCAS O REFRIGERADA",Abril de 2016,001 Francia,3  Carretera,"57935136,17"
"0541 PATATAS, FRESCAS O REFRIGERADA",Mayo de 2016,001 Francia,3  Carretera,"38776906,43"
