,producto,fecha,pais,transporte,kg,tipo
36,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Francia,Carretera,64467854.55,import
37,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Francia,Carretera,54564279.57,import
38,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Francia,Carretera,22549736.0,import
39,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Francia,Carretera,12376266.94,import
40,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Francia,Carretera,6024376.5,import
41,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Francia,Carretera,6913600.67,import
50,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Países Bajos,Marítimo,66250.0,import
51,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Países Bajos,Marítimo,95250.0,import
52,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Países Bajos,Marítimo,96305.0,import
57,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Países Bajos,Carretera,13179397.26,import
58,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Países Bajos,Carretera,6254215.97,import
59,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Países Bajos,Carretera,1177944.11,import
60,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Países Bajos,Carretera,344394.94,import
61,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Países Bajos,Carretera,375050.0,import
62,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Países Bajos,Carretera,1925631.87,import
71,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Alemania,Marítimo,12295.18,import
72,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Alemania,Marítimo,300.0,import
73,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Alemania,Marítimo,130010.0,import
74,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Alemania,Marítimo,230170.0,import
75,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Alemania,Marítimo,160.0,import
76,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Alemania,Marítimo,110.0,import
78,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Alemania,Carretera,947193.77,import
79,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Alemania,Carretera,70524.0,import
80,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Alemania,Carretera,23281.0,import
81,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Alemania,Carretera,69962.95,import
82,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Alemania,Carretera,152611.5,import
83,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Alemania,Carretera,69146.52,import
