,YEAR,TIPO,product,unit,variable,value,DATE
0,2017,origen,Patata ,kg,S1,0.25,2017-01-02
1,2017,mercado,Patata,kg,S1,0.39,2017-01-02
2,2017,consumo,Patata,kg,S1,1.06,2017-01-02
3,2016,origen,Patata ,kg,S1,0.19,2016-01-04
4,2016,mercado,Patata,kg,S1,0.38,2016-01-04
5,2016,consumo,Patata,kg,S1,0.96,2016-01-04
6,2015,origen,Patata ,kg,S1,0.04,2015-01-05
7,2015,mercado,Patata,kg,S1,0.23,2015-01-05
8,2015,consumo,Patata,kg,S1,0.88,2015-01-05
9,2014,origen,Patata ,kg,S1,0.18,2014-01-06
10,2014,mercado,Patata,kg,S1,0.39,2014-01-06
11,2014,consumo,Patata,kg,S1,1.04,2014-01-06
12,2017,origen,Patata ,kg,S2,0.26,2017-01-09
13,2017,mercado,Patata,kg,S2,0.4,2017-01-09
14,2017,consumo,Patata,kg,S2,1.06,2017-01-09
15,2016,origen,Patata ,kg,S2,0.19,2016-01-11
16,2016,mercado,Patata,kg,S2,0.38,2016-01-11
17,2016,consumo,Patata,kg,S2,0.98,2016-01-11
18,2015,origen,Patata ,kg,S2,0.04,2015-01-12
19,2015,mercado,Patata,kg,S2,0.23,2015-01-12
20,2015,consumo,Patata,kg,S2,0.88,2015-01-12
21,2014,origen,Patata ,kg,S2,0.18,2014-01-13
22,2014,mercado,Patata,kg,S2,0.41,2014-01-13
23,2014,consumo,Patata,kg,S2,1.04,2014-01-13
24,2017,origen,Patata ,kg,S3,0.26,2017-01-16
25,2017,mercado,Patata,kg,S3,0.4,2017-01-16
26,2017,consumo,Patata,kg,S3,1.06,2017-01-16
27,2016,origen,Patata ,kg,S3,0.19,2016-01-18
28,2016,mercado,Patata,kg,S3,0.38,2016-01-18
29,2016,consumo,Patata,kg,S3,0.98,2016-01-18
30,2015,origen,Patata ,kg,S3,0.04,2015-01-19
31,2015,mercado,Patata,kg,S3,0.23,2015-01-19
32,2015,consumo,Patata,kg,S3,0.88,2015-01-19
33,2014,origen,Patata ,kg,S3,0.18,2014-01-20
34,2014,mercado,Patata,kg,S3,0.42,2014-01-20
35,2014,consumo,Patata,kg,S3,1.02,2014-01-20
36,2017,origen,Patata ,kg,S4,0.26,2017-01-23
37,2017,mercado,Patata,kg,S4,0.41,2017-01-23
38,2017,consumo,Patata,kg,S4,1.05,2017-01-23
39,2016,origen,Patata ,kg,S4,0.19,2016-01-25
40,2016,mercado,Patata,kg,S4,0.39,2016-01-25
41,2016,consumo,Patata,kg,S4,0.97,2016-01-25
42,2015,origen,Patata ,kg,S4,0.04,2015-01-26
43,2015,mercado,Patata,kg,S4,0.23,2015-01-26
44,2015,consumo,Patata,kg,S4,0.89,2015-01-26
45,2014,origen,Patata ,kg,S4,0.19,2014-01-27
46,2014,mercado,Patata,kg,S4,0.42,2014-01-27
47,2014,consumo,Patata,kg,S4,1.02,2014-01-27
48,2017,origen,Patata ,kg,S5,0.27,2017-01-30
49,2017,mercado,Patata,kg,S5,0.4,2017-01-30
50,2017,consumo,Patata,kg,S5,1.05,2017-01-30
51,2016,origen,Patata ,kg,S5,0.19,2016-02-01
52,2016,mercado,Patata,kg,S5,0.39,2016-02-01
53,2016,consumo,Patata,kg,S5,0.98,2016-02-01
54,2015,origen,Patata ,kg,S5,0.04,2015-02-02
55,2015,mercado,Patata,kg,S5,0.24,2015-02-02
56,2015,consumo,Patata,kg,S5,0.88,2015-02-02
57,2014,origen,Patata ,kg,S5,0.18,2014-02-03
58,2014,mercado,Patata,kg,S5,0.4,2014-02-03
59,2014,consumo,Patata,kg,S5,1.01,2014-02-03
