,Provincia,Variable,Cantidad,Unit
0,A Coruña,15/12-15/4,31,S-ha
1,Lugo,15/12-15/4,0,S-ha
2,Ourense,15/12-15/4,0,S-ha
3,Pontevedra,15/12-15/4,37,S-ha
4,Asturias,15/12-15/4,0,S-ha
5,Cantabria,15/12-15/4,0,S-ha
6,Araba/Álava,15/12-15/4,0,S-ha
7,Gipuzkoa,15/12-15/4,0,S-ha
8,Bizkaia,15/12-15/4,0,S-ha
9,Navarra,15/12-15/4,0,S-ha
10,La Rioja,15/12-15/4,0,S-ha
11,Huesca,15/12-15/4,0,S-ha
12,Teruel,15/12-15/4,0,S-ha
13,Zaragoza,15/12-15/4,0,S-ha
14,Barcelona,15/12-15/4,0,S-ha
15,Girona,15/12-15/4,10,S-ha
16,Lleida,15/12-15/4,0,S-ha
17,Tarragona,15/12-15/4,0,S-ha
18,Illes Balears,15/12-15/4,230,S-ha
19,Ávila,15/12-15/4,0,S-ha
20,Burgos,15/12-15/4,0,S-ha
21,León,15/12-15/4,0,S-ha
22,Palencia,15/12-15/4,0,S-ha
23,Salamanca,15/12-15/4,0,S-ha
24,Segovia,15/12-15/4,0,S-ha
25,Soria,15/12-15/4,0,S-ha
26,Valladolid,15/12-15/4,0,S-ha
27,Zamora,15/12-15/4,0,S-ha
28,Madrid,15/12-15/4,0,S-ha
29,Albacete,15/12-15/4,0,S-ha
30,Ciudad Real,15/12-15/4,0,S-ha
31,Cuenca,15/12-15/4,0,S-ha
32,Guadalajara,15/12-15/4,0,S-ha
33,Toledo,15/12-15/4,0,S-ha
34,Alacant/Alicante,15/12-15/4,0,S-ha
35,Castellón/Castelló,15/12-15/4,0,S-ha
36,Valencia/València,15/12-15/4,21,S-ha
37,Murcia,15/12-15/4,1138,S-ha
38,Badajoz,15/12-15/4,0,S-ha
39,Cáceres,15/12-15/4,0,S-ha
40,Almería,15/12-15/4,45,S-ha
41,Cádiz,15/12-15/4,527,S-ha
42,Córdoba,15/12-15/4,0,S-ha
43,Granada,15/12-15/4,117,S-ha
44,Huelva,15/12-15/4,30,S-ha
45,Jaén,15/12-15/4,0,S-ha
46,Málaga,15/12-15/4,367,S-ha
47,Sevilla,15/12-15/4,250,S-ha
48,A Coruña,15/12-15/4,520,P-t
49,Lugo,15/12-15/4,0,P-t
50,Ourense,15/12-15/4,0,P-t
51,Pontevedra,15/12-15/4,648,P-t
52,Asturias,15/12-15/4,0,P-t
53,Cantabria,15/12-15/4,0,P-t
54,Araba/Álava,15/12-15/4,0,P-t
55,Gipuzkoa,15/12-15/4,0,P-t
56,Bizkaia,15/12-15/4,0,P-t
57,Navarra,15/12-15/4,0,P-t
58,La Rioja,15/12-15/4,0,P-t
59,Huesca,15/12-15/4,0,P-t
60,Teruel,15/12-15/4,0,P-t
61,Zaragoza,15/12-15/4,0,P-t
62,Barcelona,15/12-15/4,0,P-t
63,Girona,15/12-15/4,200,P-t
64,Lleida,15/12-15/4,0,P-t
65,Tarragona,15/12-15/4,0,P-t
66,Illes Balears,15/12-15/4,4715,P-t
67,Ávila,15/12-15/4,0,P-t
68,Burgos,15/12-15/4,0,P-t
69,León,15/12-15/4,0,P-t
70,Palencia,15/12-15/4,0,P-t
71,Salamanca,15/12-15/4,0,P-t
72,Segovia,15/12-15/4,0,P-t
73,Soria,15/12-15/4,0,P-t
74,Valladolid,15/12-15/4,0,P-t
75,Zamora,15/12-15/4,0,P-t
76,Madrid,15/12-15/4,0,P-t
77,Albacete,15/12-15/4,0,P-t
78,Ciudad Real,15/12-15/4,0,P-t
79,Cuenca,15/12-15/4,0,P-t
80,Guadalajara,15/12-15/4,0,P-t
81,Toledo,15/12-15/4,0,P-t
82,Alacant/Alicante,15/12-15/4,0,P-t
83,Castellón/Castelló,15/12-15/4,0,P-t
84,Valencia/València,15/12-15/4,168,P-t
85,Murcia,15/12-15/4,34140,P-t
86,Badajoz,15/12-15/4,0,P-t
87,Cáceres,15/12-15/4,0,P-t
88,Almería,15/12-15/4,945,P-t
89,Cádiz,15/12-15/4,8432,P-t
90,Córdoba,15/12-15/4,0,P-t
91,Granada,15/12-15/4,5060,P-t
92,Huelva,15/12-15/4,915,P-t
93,Jaén,15/12-15/4,0,P-t
94,Málaga,15/12-15/4,10093,P-t
95,Sevilla,15/12-15/4,4000,P-t
96,A Coruña,15/4-15/6,598,S-ha
97,Lugo,15/4-15/6,147,S-ha
98,Ourense,15/4-15/6,86,S-ha
99,Pontevedra,15/4-15/6,701,S-ha
100,Asturias,15/4-15/6,0,S-ha
101,Cantabria,15/4-15/6,0,S-ha
102,Araba/Álava,15/4-15/6,0,S-ha
103,Gipuzkoa,15/4-15/6,25,S-ha
104,Bizkaia,15/4-15/6,80,S-ha
105,Navarra,15/4-15/6,0,S-ha
106,La Rioja,15/4-15/6,0,S-ha
107,Huesca,15/4-15/6,55,S-ha
108,Teruel,15/4-15/6,0,S-ha
109,Zaragoza,15/4-15/6,21,S-ha
110,Barcelona,15/4-15/6,125,S-ha
111,Girona,15/4-15/6,13,S-ha
112,Lleida,15/4-15/6,0,S-ha
113,Tarragona,15/4-15/6,39,S-ha
114,Illes Balears,15/4-15/6,1213,S-ha
115,Ávila,15/4-15/6,8,S-ha
116,Burgos,15/4-15/6,0,S-ha
117,León,15/4-15/6,0,S-ha
118,Palencia,15/4-15/6,0,S-ha
119,Salamanca,15/4-15/6,0,S-ha
120,Segovia,15/4-15/6,0,S-ha
121,Soria,15/4-15/6,0,S-ha
122,Valladolid,15/4-15/6,0,S-ha
123,Zamora,15/4-15/6,0,S-ha
124,Madrid,15/4-15/6,0,S-ha
125,Albacete,15/4-15/6,0,S-ha
126,Ciudad Real,15/4-15/6,12,S-ha
127,Cuenca,15/4-15/6,0,S-ha
128,Guadalajara,15/4-15/6,0,S-ha
129,Toledo,15/4-15/6,145,S-ha
130,Alacant/Alicante,15/4-15/6,215,S-ha
131,Castellón/Castelló,15/4-15/6,120,S-ha
132,Valencia/València,15/4-15/6,828,S-ha
133,Murcia,15/4-15/6,2554,S-ha
134,Badajoz,15/4-15/6,0,S-ha
135,Cáceres,15/4-15/6,0,S-ha
136,Almería,15/4-15/6,150,S-ha
137,Cádiz,15/4-15/6,450,S-ha
138,Córdoba,15/4-15/6,98,S-ha
139,Granada,15/4-15/6,60,S-ha
140,Huelva,15/4-15/6,220,S-ha
141,Jaén,15/4-15/6,6,S-ha
142,Málaga,15/4-15/6,439,S-ha
143,Sevilla,15/4-15/6,3000,S-ha
144,A Coruña,15/4-15/6,11787,P-t
145,Lugo,15/4-15/6,2608,P-t
146,Ourense,15/4-15/6,2085,P-t
147,Pontevedra,15/4-15/6,12919,P-t
148,Asturias,15/4-15/6,0,P-t
149,Cantabria,15/4-15/6,0,P-t
150,Araba/Álava,15/4-15/6,0,P-t
151,Gipuzkoa,15/4-15/6,513,P-t
152,Bizkaia,15/4-15/6,1680,P-t
153,Navarra,15/4-15/6,0,P-t
154,La Rioja,15/4-15/6,0,P-t
155,Huesca,15/4-15/6,1271,P-t
156,Teruel,15/4-15/6,0,P-t
157,Zaragoza,15/4-15/6,451,P-t
158,Barcelona,15/4-15/6,2534,P-t
159,Girona,15/4-15/6,298,P-t
160,Lleida,15/4-15/6,0,P-t
161,Tarragona,15/4-15/6,780,P-t
162,Illes Balears,15/4-15/6,44799,P-t
163,Ávila,15/4-15/6,240,P-t
164,Burgos,15/4-15/6,0,P-t
165,León,15/4-15/6,0,P-t
166,Palencia,15/4-15/6,0,P-t
167,Salamanca,15/4-15/6,0,P-t
168,Segovia,15/4-15/6,0,P-t
169,Soria,15/4-15/6,0,P-t
170,Valladolid,15/4-15/6,0,P-t
171,Zamora,15/4-15/6,0,P-t
172,Madrid,15/4-15/6,0,P-t
173,Albacete,15/4-15/6,0,P-t
174,Ciudad Real,15/4-15/6,360,P-t
175,Cuenca,15/4-15/6,0,P-t
176,Guadalajara,15/4-15/6,0,P-t
177,Toledo,15/4-15/6,4060,P-t
178,Alacant/Alicante,15/4-15/6,5160,P-t
179,Castellón/Castelló,15/4-15/6,3840,P-t
180,Valencia/València,15/4-15/6,26496,P-t
181,Murcia,15/4-15/6,87682,P-t
182,Badajoz,15/4-15/6,0,P-t
183,Cáceres,15/4-15/6,0,P-t
184,Almería,15/4-15/6,3542,P-t
185,Cádiz,15/4-15/6,11250,P-t
186,Córdoba,15/4-15/6,3430,P-t
187,Granada,15/4-15/6,1176,P-t
188,Huelva,15/4-15/6,9300,P-t
189,Jaén,15/4-15/6,126,P-t
190,Málaga,15/4-15/6,11984,P-t
191,Sevilla,15/4-15/6,104990,P-t
192,A Coruña,15/6-15/9,5160,S-ha
193,Lugo,15/6-15/9,3506,S-ha
194,Ourense,15/6-15/9,5562,S-ha
195,Pontevedra,15/6-15/9,2209,S-ha
196,Asturias,15/6-15/9,900,S-ha
197,Cantabria,15/6-15/9,30,S-ha
198,Araba/Álava,15/6-15/9,380,S-ha
199,Gipuzkoa,15/6-15/9,140,S-ha
200,Bizkaia,15/6-15/9,120,S-ha
201,Navarra,15/6-15/9,206,S-ha
202,La Rioja,15/6-15/9,848,S-ha
203,Huesca,15/6-15/9,0,S-ha
204,Teruel,15/6-15/9,5,S-ha
205,Zaragoza,15/6-15/9,217,S-ha
206,Barcelona,15/6-15/9,206,S-ha
