,Provincia,P-t,INE
39,Valladolid,236375.0,47
2,Ourense,225702.0,32
36,Salamanca,184140.0,37
57,Murcia,161377.0,30
70,Sevilla,129986.0,41
0,A Coruña,126285.0,15
33,Burgos,87964.0,9
37,Segovia,87700.0,40
1,Lugo,86205.0,27
3,Pontevedra,66990.0,36
32,Ávila,65025.0,5
17,La Rioja,59416.0,26
30,Islas Baleares,58284.0,7
34,León,53298.0,24
10,Álava,51179.0,1
40,Zamora,47200.0,49
64,Cádiz,43692.0,11
35,Palencia,39507.0,34
69,Málaga,34669.0,29
54,Valencia,34287.0,46
45,Albacete,31708.0,2
66,Granada,24867.0,18
59,Badajoz,24608.0,6
65,Córdoba,21160.0,14
52,Alicante,18996.0,3
6,Asturias,18000.0,33
38,Soria,17138.0,42
67,Huelva,16475.0,21
46,Ciudad Real,14190.0,13
15,Navarra,12541.0,31
63,Almería,12409.0,4
60,Cáceres,12000.0,10
21,Zaragoza,10302.0,50
53,Castellón,9694.0,12
49,Toledo,8041.0,45
26,Lleida,7445.0,25
24,Barcelona,7257.0,8
25,Girona,6538.0,17
12,Vizcaya,5055.0,48
20,Teruel,4508.0,44
27,Tarragona,4380.0,43
11,Gipuzkoa,3827.0,20
8,Cantabria,3550.0,39
68,Jaén,2627.0,23
43,Madrid,2464.0,28
47,Cuenca,2275.0,16
19,Huesca,1271.0,22
48,Guadalajara,500.0,19
