,Provincia,P-t,INE
63,Almería,425909,4
66,Granada,181856,18
69,Málaga,10980,29
57,Murcia,8090,30
24,Barcelona,7119,8
43,Madrid,5800,28
59,Badajoz,5040,6
52,Alicante,3570,3
64,Cádiz,2856,11
53,Castellón,2148,12
27,Tarragona,1920,43
65,Córdoba,1830,14
15,Navarra,1576,31
54,Valencia,1315,46
30,Islas Baleares,1293,7
68,Jaén,865,23
70,Sevilla,650,41
17,La Rioja,555,26
26,Lleida,519,25
25,Girona,321,17
49,Toledo,205,45
12,Vizcaya,193,48
45,Albacete,133,2
37,Segovia,120,40
40,Zamora,105,49
67,Huelva,100,21
46,Ciudad Real,80,13
10,Álava,67,1
0,A Coruña,60,15
11,Gipuzkoa,51,20
21,Zaragoza,50,50
39,Valladolid,33,47
47,Cuenca,22,16
32,Ávila,18,5
8,Cantabria,6,39
35,Palencia,0,34
2,Ourense,0,32
3,Pontevedra,0,36
6,Asturias,0,33
36,Salamanca,0,37
60,Cáceres,0,10
48,Guadalajara,0,19
19,Huesca,0,22
20,Teruel,0,44
38,Soria,0,42
33,Burgos,0,9
34,León,0,24
1,Lugo,0,27
