,Provincia,P-t,INE
26,Lleida,140435,25
17,La Rioja,56920,26
21,Zaragoza,27257,50
19,Huesca,25518,22
57,Murcia,23676,30
15,Navarra,18875,31
34,León,12600,24
59,Badajoz,10403,6
25,Girona,5467,17
66,Granada,5153,18
52,Alicante,3604,3
0,A Coruña,3588,15
2,Ourense,2452,32
1,Lugo,1801,27
3,Pontevedra,1645,36
53,Castellón,1471,12
27,Tarragona,1255,43
40,Zamora,1200,49
60,Cáceres,1185,10
12,Vizcaya,1040,48
69,Málaga,818,29
65,Córdoba,680,14
45,Albacete,675,2
54,Valencia,625,46
67,Huelva,595,21
24,Barcelona,570,8
33,Burgos,500,9
35,Palencia,450,34
68,Jaén,389,23
11,Gipuzkoa,333,20
70,Sevilla,300,41
30,Islas Baleares,298,7
46,Ciudad Real,280,13
20,Teruel,240,44
6,Asturias,220,33
49,Toledo,210,45
10,Álava,204,1
63,Almería,203,4
64,Cádiz,148,11
43,Madrid,74,28
32,Ávila,62,5
8,Cantabria,28,39
47,Cuenca,27,16
36,Salamanca,25,37
37,Segovia,20,40
39,Valladolid,7,47
48,Guadalajara,4,19
38,Soria,0,42
