,Provincia,P-t,INE
64,Cádiz,29200,11
37,Segovia,6800,40
39,Valladolid,2340,47
32,Ávila,1980,5
15,Navarra,1246,31
59,Badajoz,818,6
52,Alicante,450,3
65,Córdoba,425,14
17,La Rioja,196,26
68,Jaén,100,23
70,Sevilla,97,41
69,Málaga,87,29
12,Vizcaya,55,48
60,Cáceres,55,10
57,Murcia,43,30
19,Huesca,0,22
8,Cantabria,0,39
48,Guadalajara,0,19
49,Toledo,0,45
10,Álava,0,1
53,Castellón,0,12
54,Valencia,0,46
63,Almería,0,4
46,Ciudad Real,0,13
6,Asturias,0,33
3,Pontevedra,0,36
66,Granada,0,18
67,Huelva,0,21
2,Ourense,0,32
47,Cuenca,0,16
45,Albacete,0,2
20,Teruel,0,44
33,Burgos,0,9
21,Zaragoza,0,50
24,Barcelona,0,8
25,Girona,0,17
26,Lleida,0,25
27,Tarragona,0,43
30,Islas Baleares,0,7
34,León,0,24
43,Madrid,0,28
35,Palencia,0,34
36,Salamanca,0,37
1,Lugo,0,27
38,Soria,0,42
11,Gipuzkoa,0,20
40,Zamora,0,49
0,A Coruña,0,15
