fila,subfila,columna,subcolumna,valor
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,Total modo transporte,"85099,35"
0702 Tomates frescos o refrigerados,Diciembre de 2016,Total Mundo,Total modo transporte,"8251,67"
0702 Tomates frescos o refrigerados,Noviembre de 2016,Total Mundo,Total modo transporte,"8597,30"
0702 Tomates frescos o refrigerados,Octubre de 2016,Total Mundo,Total modo transporte,"19900,03"
0702 Tomates frescos o refrigerados,Septiembre de 2016,Total Mundo,Total modo transporte,"18849,70"
0702 Tomates frescos o refrigerados,Agosto de 2016,Total Mundo,Total modo transporte,"29500,64"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,1  Marítimo,"13650,04"
0702 Tomates frescos o refrigerados,Diciembre de 2016,Total Mundo,1  Marítimo,"5261,77"
0702 Tomates frescos o refrigerados,Noviembre de 2016,Total Mundo,1  Marítimo,"4295,26"
0702 Tomates frescos o refrigerados,Octubre de 2016,Total Mundo,1  Marítimo,"2394,50"
0702 Tomates frescos o refrigerados,Septiembre de 2016,Total Mundo,1  Marítimo,"756,62"
0702 Tomates frescos o refrigerados,Agosto de 2016,Total Mundo,1  Marítimo,"941,89"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,3  Carretera,"71431,27"
0702 Tomates frescos o refrigerados,Diciembre de 2016,Total Mundo,3  Carretera,"2971,87"
0702 Tomates frescos o refrigerados,Noviembre de 2016,Total Mundo,3  Carretera,"4302,04"
0702 Tomates frescos o refrigerados,Octubre de 2016,Total Mundo,3  Carretera,"17505,53"
0702 Tomates frescos o refrigerados,Septiembre de 2016,Total Mundo,3  Carretera,"18093,09"
0702 Tomates frescos o refrigerados,Agosto de 2016,Total Mundo,3  Carretera,"28558,76"
0702 Tomates frescos o refrigerados,Total seleccionado,Total Mundo,9  Propulsión propia,"18,03"
0702 Tomates frescos o refrigerados,Diciembre de 2016,Total Mundo,9  Propulsión propia,"18,03"
0702 Tomates frescos o refrigerados,Noviembre de 2016,Total Mundo,9  Propulsión propia,
0702 Tomates frescos o refrigerados,Octubre de 2016,Total Mundo,9  Propulsión propia,
0702 Tomates frescos o refrigerados,Septiembre de 2016,Total Mundo,9  Propulsión propia,
0702 Tomates frescos o refrigerados,Agosto de 2016,Total Mundo,9  Propulsión propia,
0702 Tomates frescos o refrigerados,Total seleccionado,001 Francia,Total modo transporte,"2397,83"
0702 Tomates frescos o refrigerados,Diciembre de 2016,001 Francia,Total modo transporte,"1034,92"
0702 Tomates frescos o refrigerados,Noviembre de 2016,001 Francia,Total modo transporte,"494,14"
0702 Tomates frescos o refrigerados,Octubre de 2016,001 Francia,Total modo transporte,"567,62"
0702 Tomates frescos o refrigerados,Septiembre de 2016,001 Francia,Total modo transporte,"123,09"
0702 Tomates frescos o refrigerados,Agosto de 2016,001 Francia,Total modo transporte,"178,07"
