,producto,fecha,pais,transporte,Ton,tipo,Percent
7,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Francia,Carretera,504.9,import,0.0024110816349072277
8,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Francia,Carretera,397.89,import,0.0019000698588101342
9,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Francia,Carretera,471.56,import,0.0022518709759494003
10,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Francia,Carretera,746.73,import,0.003565908079291492
11,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Francia,Carretera,886.98,import,0.004235652977876833
19,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Países Bajos,Marítimo,6.31,import,3.01325512304706e-05
25,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Países Bajos,Carretera,4903.62,import,0.023416573829597505
26,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Países Bajos,Carretera,5951.62,import,0.02842115603079135
27,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Países Bajos,Carretera,1707.47,import,0.008153791957130212
28,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Países Bajos,Carretera,123.7,import,0.0005907126128699229
29,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Países Bajos,Carretera,100.83,import,0.0004815000222770762
37,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Alemania,Carretera,125.57,import,0.0005996425448510607
38,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Alemania,Carretera,89.75,import,0.00042858898144766027
39,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Alemania,Carretera,5.4,import,2.5786969357296553e-05
40,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Alemania,Carretera,16.99,import,8.113344618156822e-05
41,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Alemania,Carretera,10.11,import,4.82789370744941e-05
43,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Alemania,Aire,0.08,import,3.8202917566365266e-07
44,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Alemania,Aire,0.11,import,5.252901165375224e-07
55,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Italia,Marítimo,0.87,import,4.154567285342222e-06
56,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Italia,Marítimo,1.1,import,5.252901165375224e-06
57,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Italia,Marítimo,2.67,import,1.2750223737774406e-05
58,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Italia,Marítimo,1.85,import,8.834424687221967e-06
59,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Italia,Marítimo,2.48,import,1.1842904445573231e-05
61,0702 Tomates frescos o refrigerados,2017-07-01 00:00:00, Italia,Carretera,27.26,import,0.00013017644160738965
62,0702 Tomates frescos o refrigerados,2017-06-01 00:00:00, Italia,Carretera,30.05,import,0.00014349970910865952
63,0702 Tomates frescos o refrigerados,2017-05-01 00:00:00, Italia,Carretera,6.92,import,3.304552369490595e-05
64,0702 Tomates frescos o refrigerados,2017-04-01 00:00:00, Italia,Carretera,10.97,import,5.238575071287837e-05
65,0702 Tomates frescos o refrigerados,2017-03-01 00:00:00, Italia,Carretera,20.61,import,9.842026638034851e-05
