fecha,pais,Percent,Ton,tipo
2016-01-01, Marruecos,0.026359153555146786,5519.82,import
2016-02-01, Marruecos,0.02039023420728396,4269.88,import
2016-03-01, Marruecos,0.024260810554167216,5080.41,import
2016-04-01, Marruecos,0.010240626329192912,2144.47,import
2016-05-01, Países Bajos,0.014464006619801554,3028.88,import
2016-06-01, Países Bajos,0.033699557643642124,7056.96,import
2016-07-01, Países Bajos,0.028276462480508743,5921.32,import
2016-08-01, Portugal,0.07687453717762288,16098.15,import
2016-09-01, Portugal,0.04789313536072076,10029.21,import
2016-10-01, Portugal,0.06629500321596933,13882.71,import
2016-11-01, Marruecos,0.02031822170767137,4254.8,import
2016-12-01, Marruecos,0.02512687069539672,5261.77,import
2017-01-01, Marruecos,0.02985543681717358,6251.97,import
2017-02-01, Marruecos,0.027232281236126067,5702.66,import
2017-03-01, Marruecos,0.034986231907277315,7326.4,import
2017-04-01, Marruecos,0.025477477971362038,5335.19,import
2017-05-01, Portugal,0.008474648711040722,1774.66,import
2017-06-01, Países Bajos,0.02842115603079135,5951.62,import
2017-07-01, Países Bajos,0.023416573829597505,4903.62,import
