DATE,ORIGEN,MERCASA,DESTINO
2016-01-04,0.18,0.23,0.6
2016-01-11,0.15,0.25,0.59
2016-01-18,0.15,0.26,0.59
2016-01-25,0.16,0.27,0.57
2016-02-01,0.17,0.26,0.58
2016-02-08,0.24,0.19,0.58
2016-02-15,0.2,0.26,0.55
2016-02-22,0.24,0.23,0.52
2016-02-29,0.27,0.24,0.49
2016-03-07,0.3,0.28,0.42
2016-03-14,0.29,0.28,0.42
2016-03-21,0.29,0.29,0.42
2016-03-28,0.25,0.32,0.43
2016-04-04,0.22,0.32,0.46
2016-04-11,0.22,0.27,0.51
2016-04-18,0.18,0.32,0.51
2016-04-25,0.16,0.29,0.55
2016-05-02,0.18,0.21,0.61
2016-05-09,0.17,0.21,0.62
2016-05-16,0.15,0.22,0.63
2016-05-23,0.15,0.24,0.61
2016-05-30,0.14,0.27,0.59
2016-06-06,0.18,0.24,0.59
2016-06-13,0.19,0.24,0.57
2016-06-20,0.19,0.22,0.6
2016-06-27,0.19,0.2,0.6
2016-07-04,0.21,0.2,0.59
2016-07-11,0.23,0.21,0.56
2016-07-18,0.26,0.23,0.51
2016-07-25,0.31,0.28,0.4
2016-08-01,0.32,0.19,0.48
2016-08-08,0.3,0.17,0.52
2016-08-15,0.35,0.15,0.5
2016-08-22,0.38,0.21,0.4
2016-08-29,0.34,0.15,0.51
2016-09-05,0.3,0.16,0.54
2016-09-12,0.26,0.18,0.56
2016-09-19,0.28,0.18,0.54
2016-09-26,0.31,0.16,0.53
2016-10-03,0.3,0.25,0.45
2016-10-10,0.3,0.22,0.47
2016-10-17,0.34,0.17,0.49
2016-10-24,0.31,0.21,0.48
2016-10-31,0.28,0.2,0.52
2016-11-07,0.2,0.3,0.49
2016-11-14,0.22,0.25,0.53
2016-11-21,0.27,0.21,0.53
2016-11-28,0.39,0.17,0.45
2016-12-05,0.42,0.18,0.4
2016-12-12,0.32,0.25,0.43
2016-12-19,0.31,0.25,0.44
2016-12-26,0.28,0.28,0.44
