,YEAR,TIPO,PRODUCT,UNIT,variable,value,DATE
0,2016,ORIGEN,Tomate redondo liso ,kg,S1,0.38,2016-01-04
1,2016,MERCASA,Tomate redondo liso ,kg,S1,0.87,2016-01-04
2,2016,DESTINO,Tomate redondo liso ,kg,S1,2.15,2016-01-04
3,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S1,0.18,2016-01-04
4,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S1,0.23,2016-01-04
5,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S1,0.6,2016-01-04
6,2016,ORIGEN,Tomate redondo liso ,kg,S2,0.33,2016-01-11
7,2016,MERCASA,Tomate redondo liso ,kg,S2,0.87,2016-01-11
8,2016,DESTINO,Tomate redondo liso ,kg,S2,2.14,2016-01-11
9,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S2,0.15,2016-01-11
10,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S2,0.25,2016-01-11
11,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S2,0.59,2016-01-11
12,2016,ORIGEN,Tomate redondo liso ,kg,S3,0.32,2016-01-18
13,2016,MERCASA,Tomate redondo liso ,kg,S3,0.88,2016-01-18
14,2016,DESTINO,Tomate redondo liso ,kg,S3,2.12,2016-01-18
15,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S3,0.15,2016-01-18
16,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S3,0.26,2016-01-18
17,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S3,0.59,2016-01-18
18,2016,ORIGEN,Tomate redondo liso ,kg,S4,0.34,2016-01-25
19,2016,MERCASA,Tomate redondo liso ,kg,S4,0.9,2016-01-25
20,2016,DESTINO,Tomate redondo liso ,kg,S4,2.09,2016-01-25
21,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S4,0.16,2016-01-25
22,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S4,0.27,2016-01-25
23,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S4,0.57,2016-01-25
24,2016,ORIGEN,Tomate redondo liso ,kg,S5,0.34,2016-02-01
25,2016,MERCASA,Tomate redondo liso ,kg,S5,0.87,2016-02-01
26,2016,DESTINO,Tomate redondo liso ,kg,S5,2.06,2016-02-01
27,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S5,0.17,2016-02-01
28,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S5,0.26,2016-02-01
29,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S5,0.58,2016-02-01
30,2016,ORIGEN,Tomate redondo liso ,kg,S6,0.48,2016-02-08
31,2016,MERCASA,Tomate redondo liso ,kg,S6,0.86,2016-02-08
32,2016,DESTINO,Tomate redondo liso ,kg,S6,2.04,2016-02-08
33,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S6,0.24,2016-02-08
34,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S6,0.19,2016-02-08
35,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S6,0.58,2016-02-08
36,2016,ORIGEN,Tomate redondo liso ,kg,S7,0.41,2016-02-15
37,2016,MERCASA,Tomate redondo liso ,kg,S7,0.94,2016-02-15
38,2016,DESTINO,Tomate redondo liso ,kg,S7,2.06,2016-02-15
39,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S7,0.2,2016-02-15
40,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S7,0.26,2016-02-15
41,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S7,0.55,2016-02-15
42,2016,ORIGEN,Tomate redondo liso ,kg,S8,0.5,2016-02-22
43,2016,MERCASA,Tomate redondo liso ,kg,S8,0.98,2016-02-22
44,2016,DESTINO,Tomate redondo liso ,kg,S8,2.05,2016-02-22
45,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S8,0.24,2016-02-22
46,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S8,0.23,2016-02-22
47,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S8,0.52,2016-02-22
48,2016,ORIGEN,Tomate redondo liso ,kg,S9,0.57,2016-02-29
49,2016,MERCASA,Tomate redondo liso ,kg,S9,1.06,2016-02-29
50,2016,DESTINO,Tomate redondo liso ,kg,S9,2.09,2016-02-29
51,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S9,0.27,2016-02-29
52,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S9,0.24,2016-02-29
53,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S9,0.49,2016-02-29
54,2016,ORIGEN,Tomate redondo liso ,kg,S10,0.62,2016-03-07
55,2016,MERCASA,Tomate redondo liso ,kg,S10,1.2,2016-03-07
56,2016,DESTINO,Tomate redondo liso ,kg,S10,2.07,2016-03-07
57,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S10,0.3,2016-03-07
58,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S10,0.28,2016-03-07
59,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S10,0.42,2016-03-07
60,2016,ORIGEN,Tomate redondo liso ,kg,S11,0.62,2016-03-14
61,2016,MERCASA,Tomate redondo liso ,kg,S11,1.22,2016-03-14
62,2016,DESTINO,Tomate redondo liso ,kg,S11,2.11,2016-03-14
63,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S11,0.29,2016-03-14
64,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S11,0.28,2016-03-14
65,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S11,0.42,2016-03-14
66,2016,ORIGEN,Tomate redondo liso ,kg,S12,0.61,2016-03-21
67,2016,MERCASA,Tomate redondo liso ,kg,S12,1.23,2016-03-21
68,2016,DESTINO,Tomate redondo liso ,kg,S12,2.11,2016-03-21
69,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S12,0.29,2016-03-21
70,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S12,0.29,2016-03-21
71,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S12,0.42,2016-03-21
72,2016,ORIGEN,Tomate redondo liso ,kg,S13,0.53,2016-03-28
73,2016,MERCASA,Tomate redondo liso ,kg,S13,1.2,2016-03-28
74,2016,DESTINO,Tomate redondo liso ,kg,S13,2.1,2016-03-28
75,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S13,0.25,2016-03-28
76,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S13,0.32,2016-03-28
77,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S13,0.43,2016-03-28
78,2016,ORIGEN,Tomate redondo liso ,kg,S14,0.48,2016-04-04
79,2016,MERCASA,Tomate redondo liso ,kg,S14,1.17,2016-04-04
80,2016,DESTINO,Tomate redondo liso ,kg,S14,2.15,2016-04-04
81,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S14,0.22,2016-04-04
82,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S14,0.32,2016-04-04
83,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S14,0.46,2016-04-04
84,2016,ORIGEN,Tomate redondo liso ,kg,S15,0.47,2016-04-11
85,2016,MERCASA,Tomate redondo liso ,kg,S15,1.07,2016-04-11
86,2016,DESTINO,Tomate redondo liso ,kg,S15,2.18,2016-04-11
87,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S15,0.22,2016-04-11
88,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S15,0.27,2016-04-11
89,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S15,0.51,2016-04-11
90,2016,ORIGEN,Tomate redondo liso ,kg,S16,0.38,2016-04-18
91,2016,MERCASA,Tomate redondo liso ,kg,S16,1.06,2016-04-18
92,2016,DESTINO,Tomate redondo liso ,kg,S16,2.15,2016-04-18
93,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S16,0.18,2016-04-18
94,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S16,0.32,2016-04-18
95,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S16,0.51,2016-04-18
96,2016,ORIGEN,Tomate redondo liso ,kg,S17,0.33,2016-04-25
97,2016,MERCASA,Tomate redondo liso ,kg,S17,0.94,2016-04-25
98,2016,DESTINO,Tomate redondo liso ,kg,S17,2.1,2016-04-25
99,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S17,0.16,2016-04-25
100,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S17,0.29,2016-04-25
101,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S17,0.55,2016-04-25
102,2016,ORIGEN,Tomate redondo liso ,kg,S18,0.38,2016-05-02
103,2016,MERCASA,Tomate redondo liso ,kg,S18,0.81,2016-05-02
104,2016,DESTINO,Tomate redondo liso ,kg,S18,2.07,2016-05-02
105,2016,MARGEN ORIGEN,Tomate redondo liso ,percent,S18,0.18,2016-05-02
106,2016,MARGEN MERCASA,Tomate redondo liso ,percent,S18,0.21,2016-05-02
107,2016,MARGEN DESTINO,Tomate redondo liso ,percent,S18,0.61,2016-05-02
108,2016,ORIGEN,Tomate redondo liso ,kg,S19,0.35,2016-05-09
