,Provincia,S-ha_1-I a 31-V,P-t_1-I a 31-V,S-ha_1-VI a 30-IX,P-t_1-VI a 30-IX,S-ha_1-X a 31-XII,P-t_1-X a 31-XII,INE
0,A Coruña,121,1397,160,20875,7,576,15
1,Lugo,4,357,175,14816,2,178,27
2,Ourense,4,401,221,21929,3,300,32
3,Pontevedra,16,1254,376,29758,8,669,36
6,Asturias,0,0,96,2360,0,0,33
8,Cantabria,0,0,16,324,0,0,39
10,Araba/Álava,1,50,54,1510,0,0,1
11,Gipuzkoa,5,286,66,1434,4,229,20
12,Bizkaia,0,0,164,4047,0,0,48
15,Navarra,0,0,2056,163305,0,0,31
17,La Rioja,0,0,170,12986,0,0,26
19,Huesca,0,0,42,3048,9,653,22
20,Teruel,0,0,6,390,0,0,44
21,Zaragoza,0,0,0,0,641,47452,50
24,Barcelona,30,1667,270,15003,40,2223,8
25,Girona,29,1049,240,8686,0,0,17
26,Lleida,0,0,163,5651,38,1413,25
27,Tarragona,8,560,331,12530,37,1295,43
30,Illes Balears,43,1603,191,7162,51,1924,7
32,Ávila,0,0,16,1040,0,0,5
33,Burgos,0,0,3,150,0,0,9
34,León,0,0,25,1250,0,0,24
35,Palencia,0,0,10,450,0,0,34
36,Salamanca,0,0,32,1006,3,114,37
37,Segovia,0,0,40,1600,0,0,40
38,Soria,0,0,0,0,0,0,42
39,Valladolid,0,0,11,561,0,0,47
40,Zamora,0,0,9,522,0,0,49
43,Madrid,1,93,50,4625,5,462,28
45,Albacete,0,0,263,24955,0,0,2
46,Ciudad Real,0,0,285,22350,0,0,13
47,Cuenca,0,0,9,405,0,0,16
48,Guadalajara,0,0,5,85,0,0,19
49,Toledo,0,0,566,44190,0,0,45
52,Alacant/Alicante,141,11280,130,4550,267,34710,3
53,Castellón/Castelló,60,1882,425,15289,70,2044,12
54,Valencia/València,10,590,47,2681,93,3767,46
57,Murcia,921,115052,574,33650,902,41782,30
59,Badajoz,0,0,19823,1727297,0,0,6
60,Cáceres,0,0,2630,226633,0,0,10
63,Almería,7000,659787,1200,78781,2145,246189,4
64,Cádiz,370,13323,570,34087,185,6700,11
65,Córdoba,0,0,295,10483,0,0,14
66,Granada,1324,134337,1919,147275,1019,107683,18
67,Huelva,15,525,152,6416,15,375,21
68,Jaén,0,0,182,7500,0,0,23
69,Málaga,372,25015,345,23184,201,12812,29
70,Sevilla,45,3823,6450,500000,30,2550,41
71,Ceuta,0,0,0,0,0,0,0
72,Melilla,0,0,0,0,0,0,0
