Product;ALEMANIA;AUSTRIA;BÉLGICA;BULGARIA;CHIPRE;CROACIA;DINAMARCA;ESLOVAQUIA;ESLOVENIA;ESTONIA;FINLANDIA;FRANCIA;GRECIA;HUNGRIA;IRLANDA;ITALIA;LETONIA;LITUANIA;LUXEMBURGO;MALTA;PAISES BAJOS;POLONIA;PORTUGAL;REINO UNIDO;REP. CHECA;RUMANIA;SUECIA;TOTAL UE-27;EXTRE UE;TOTAL;;
ACELGA;4;0;67;;;;;;;;;1;;0;;87;;;;;0;;60;;;;;219;31;250;;
AJO;128;;294;;;;;;;;;1,194;;;0;57;;;;;178;;511;35;;;;2,397;3,009;5,406;;
ALCACHOFA;;;0;;;;;;;;;56;;;;18;;;;;1;;0;6;;;;81;55;136;;
APIO;5;;97;;;;;;;;;55;;;;0;;;;;53;;30;157;;;;397;55;452;;
BERENJENA;42;;419;;;;;;10;;;355;66;18;;29;;5;;;241;67;47;;25;3;;1,327;24;1,351;;
CALABACÍN;58;;0;;;;;;31;;;254;;23;;54;;;;;20;;241;53;;;;734;9,476;10,210;;
CALABAZA;74;1,336;1;;;;;;1;;;448;86;;;45;;;;;986;8;842;3;305;;;4,135;5,556;9,691;;
CEBOLLA;793;3;395;;;;23;;;;;6,889;;;;527;;;;;8,469;;8,227;944;187;;;26,457;15,014;41,471;;
COLES;1,084;0;1,417;;;;;;39;;;3,694;2;;;279;;;;;6,292;99;2,902;1,149;;1;;16,958;285;17,243;;
ENDIVIA Y ESCAROLA;1,181;;3,316;252;;3;;;;;;2,768;148;;;1,385;200;186;;;799;;27;;229;;;10,494;373;10,867;;
ESPÁRRAGO;3;;4;0;;;;;;;;27;1;;;7;;;;;136;;6;0;;;;184;8,642;8,826;;
ESPINACA;24;;26;;;;;;;;;167;;1;;197;;;;;81;;202;64;;;;762;19;781;;
GUISANTE;0;;;;;;;;;;;573;;;;;;;;;4;;15;12;;;77;681;177;858;;
JUDÍA;11;;414;;;;;;;;;29,238;;;;9;;;;;62;;183;30;;2;26;29,975;78,576;108,551;;
LECHUGA;1,059;4;2,491;;;;;;27;;;6,375;19;27;;1,380;;;;;2,183;48;2,896;434;;24;11;16,978;382;17,360;;
MAÍZ DULCE;1;;;;;;;;;;;22;;;;52;;;;;159;;750;;;;;984;5,010;5,994;;
PATATA;2,652;0;18,703;;280;;4,231;;;;0;502,795;87;;77;636;;;2,633;40;55,587;55;13,754;67,115;;;878;669,523;12,547;682,070;;
