PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,SCORE,COUNT
acelga,X,X,X,X,X,X,X,Y,X,X,X,X,7.61,18
aguacate,X,X,X,X,Y,,,,,Y,X,X,7.0,1
ajo,,,,,Y,X,X,,,,,,3.73,15
albaricoque,,,,,X,X,X,Y,,,,,2.5,6
alcachofa,,,Y,X,X,Y,,,,Y,Y,Y,4.23,11
apio,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,X,6.5,8
batata,,,,,,,,,,X,X,,1.5,2
berenjena,,,,,,,X,X,X,Y,,,3.47,19
brocoli,Y,Y,,,Y,Y,,,,X,X,X,4.67,15
calabacin,,,,,,X,X,X,Y,,,,3.4,20
calabaza,,,,,,,Y,Y,X,X,,,2.82,19
caqui,,,,,,,,,,Y,Y,X,2.0,4
cardo,X,Y,Y,,,,,,,,X,X,3.7,5
cebolla,,,Y,Y,Y,Y,Y,X,X,X,Y,Y,5.5,16
cereza,,,,,X,X,,,,,,,1.9,10
champinon,,,,,Y,,,,Y,Y,X,,4.5,4
col,X,X,X,Y,,,,Y,Y,X,X,X,6.5,8
col-de-bruselas,Y,Y,,,,,,,,Y,Y,X,3.42,6
coliflor,X,X,X,Y,,,,,,Y,X,X,5.1,15
endibia,X,X,X,X,X,X,,,X,X,X,X,10.0,1
esparrago,,,X,X,X,,,,,,,,3.06,8
espinaca,X,X,X,X,Y,Y,,Y,X,X,X,X,6.23,13
frambuesa,,,,,Y,X,X,X,X,,,,4.5,5
fresa,,,,Y,X,X,X,Y,Y,,,,3.61,9
granada,,,,,,,,,X,Y,,,1.75,2
guisante,,,Y,X,X,Y,,,,,,,3.0,13
haba,,,,Y,X,,,,,,,,2.63,15
higo,,,,,,,Y,X,X,,,,2.44,8
judia,,,,,Y,X,X,X,X,Y,,,4.19,13
kiwi,X,X,X,,,,,,,X,X,X,4.6,5
lechuga,X,X,X,X,X,X,X,X,X,X,X,Y,7.5,17
lima,,,,,,,,Y,Y,Y,X,Y,4.25,2
limon,X,X,X,Y,Y,Y,,,,Y,X,X,6.5,4
maiz,,,,,,,,Y,X,Y,,,2.75,4
mandarina,Y,Y,Y,,,,,,,,X,Y,3.5,2
manzana,,,,,,,Y,Y,X,Y,Y,Y,3.69,8
melocoton,,,,,,Y,X,X,X,,,,2.5,9
melon,,,,,,,X,X,X,,,,2.86,7
mora,,,,,,Y,X,X,X,,,,2.86,7
nabo,Y,Y,,,,,,,Y,Y,X,X,4.25,4
naranja,X,X,X,X,Y,,,,,,X,X,5.0,4
nectarina,,,,,Y,Y,X,X,Y,,,,2.8,5
patata,,,,,Y,X,X,X,Y,Y,,,4.21,19
pepino,,,,,,X,X,X,X,,,,3.41,16
pera,,,,,,,X,X,X,Y,,,3.71,7
pimiento,,,,,,X,X,X,X,Y,,,3.92,19
pomelo,Y,Y,Y,Y,,,,,,,,X,3.5,2
puerro,X,X,Y,,,,,Y,X,X,X,X,5.7,15
rabano,,,Y,,Y,Y,Y,,Y,X,X,,4.88,4
remolacha,Y,Y,Y,Y,Y,Y,X,X,Y,X,X,Y,6.31,8
sandia,,,,,,X,X,X,Y,,,,2.57,7
tomate,,,,,,Y,X,X,X,Y,,,3.98,22
uva,,,,,,,,Y,X,Y,,,2.19,8
zanahoria,Y,Y,Y,X,X,X,X,X,X,X,X,X,7.57,14
