PRODUCTO,ABR,AGO,DIC,ENE,FEB,JUL,JUN,MAR,MAY,NOV,OCT,SEP,SCORE,COUNT
acelga,X,Y,X,X,X,Y,X,X,X,X,X,X,6.86,14
aguacate,X,,X,X,X,,,X,Y,X,Y,,7.0,1
ajo,,,,,,Y,X,,Y,,,,3.58,12
albaricoque,,Y,,,,X,X,,X,,,,2.5,6
alcachofa,X,,Y,,,,Y,Y,X,Y,Y,,4.31,8
apio,X,Y,X,X,X,,Y,X,,Y,Y,Y,5.71,7
batata,,,,,,,,,,X,X,,1.5,2
berenjena,,X,,,,X,Y,,,,Y,X,3.44,16
brocoli,,,X,Y,,,Y,,Y,X,X,,4.25,12
calabacin,,X,,,,X,X,,,,,Y,3.5,16
calabaza,,Y,,,,Y,,,,,X,X,2.81,16
caqui,,,X,,,,,,,Y,Y,,2.0,4
cardo,Y,,X,Y,Y,,,Y,,X,,,3.62,4
cebolla,Y,X,Y,,,X,X,Y,Y,Y,X,X,5.15,13
cereza,,,,,,Y,X,,X,,,,2.12,8
champinon,,,,,,,,,Y,X,Y,Y,2.0,3
col,Y,Y,X,Y,Y,Y,Y,Y,,X,X,Y,5.33,6
col-de-bruselas,,,X,Y,Y,,,,,Y,Y,,3.4,5
coliflor,Y,,X,X,X,,,Y,,X,Y,,4.62,12
endibia,X,,X,X,X,,X,X,X,X,X,X,10.0,1
esparrago,X,,,,,,,X,X,,,,2.36,7
espinaca,X,Y,X,X,X,,X,X,X,X,Y,X,6.5,11
frambuesa,,X,,,,X,X,,Y,,,X,4.5,5
fresa,,Y,,,,X,X,,X,,,Y,3.25,8
guisante,X,,,,,,Y,Y,X,,,,3.05,10
haba,Y,,,,,,,Y,Y,,,,2.38,12
higo,,X,,,,X,,,,,,X,2.64,7
judia,,X,,,,X,X,,X,,Y,X,3.94,9
kiwi,,,Y,X,X,,,X,,X,X,,4.75,4
lechuga,X,Y,X,X,X,Y,X,X,X,X,X,X,7.04,13
lima,,Y,Y,,,,,,,X,Y,Y,4.25,2
limon,Y,,X,X,X,,Y,X,Y,X,Y,,6.5,4
maiz,,Y,,,,Y,Y,,,Y,Y,X,2.67,3
mandarina,,,Y,Y,Y,,,Y,,X,,,3.5,2
manzana,,Y,Y,,,Y,,,,Y,Y,X,3.69,8
melocoton,,X,,,,Y,Y,,,,,X,2.56,8
melon,,X,,,,X,Y,,,,,X,3.2,5
mora,,X,,,,X,Y,,,,,X,2.8,5
nabo,Y,,X,Y,Y,,,Y,Y,X,X,X,4.33,3
naranja,X,,X,X,X,,,X,Y,X,,,5.0,4
nectarina,,X,,,,X,Y,,Y,,,Y,2.8,5
patata,,X,,,,X,X,,Y,,,Y,3.78,16
pepino,,X,,,,X,X,,,,,Y,3.5,13
pera,,X,,,,X,,,,Y,Y,X,4.0,6
pimiento,,X,,,,X,X,,,,Y,X,3.67,15
pomelo,Y,,X,Y,Y,,,Y,,,,,3.5,2
puerro,,Y,X,X,X,,,Y,,X,X,X,5.08,12
rabano,,,,,,Y,Y,,Y,Y,Y,,2.5,2
remolacha,Y,X,X,X,X,X,,Y,,X,X,Y,6.21,7
sandia,,X,,,,X,X,,,,,,2.5,6
tomate,,X,,,,X,Y,,,,Y,X,3.92,18
uva,,Y,,,,,,,,,X,X,2.36,7
zanahoria,Y,X,X,Y,Y,Y,Y,Y,Y,X,X,X,6.46,12
