ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,FUENTE,
1,ACELGA,,,,,,Y,X,X,X,X,Y,Y,Abuelo de Sergio,Valdepeñas de Jaén
2,AGUACATE, ,X,X,X,Y,,,,,Y,X,X,Padres de Alba Martin,Granada
3,AJO,,,,,X,X,,,,,,,,
4,ALBARICOQUE,,,,Y,X,X,X,X,Y,,,,,
5,ALCACHOFA,,,Y,X,X,X,X,X,Y,Y,,,,
6,APIO,,,,,,,,X,X,,,,,
7,BATATA,,,,,,,,,,X,X,,,
8,BERENJENA,,,,,,Y,X,X,X,Y,,,,
9,BRÓCOLI,,,,,,,,,,Y,X,Y,,
10,CALABACIN,,,,,Y,Y,X,Y,,,,,,
11,CALABAZA,,,,,,,,,X,X,Y,Y,,
12,CARDO,,,,,,,,,,,,,,
13,CAQUÍ,,,,,,,,,Y,X,X,Y,,
14,CEBOLLA,,,,,,Y,X,X,Y,,,,,
15,CEREZA,,,,Y,X,X,Y,,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,X,,,
17,COL CHINA,,,,,,,,,,,,,,
18,COL COMÚN,,,,,,,,,,Y,X,Y,,
19,COL DE BRUSELAS,,,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,,,
21,ENDÍBIA,,,,,,,,,,,,,,
22,ESPÁRRAGO,,,Y,X,Y,,,,,,,,,
23,ESPINACA,,,Y,X,Y,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,,,
25,FRESA,,,Y,X,X,X,Y,Y,Y,,,,,
26,GUISANTE,,,Y,X,Y,,,,,,,,,
27,HABA,,,,X,Y,X,Y,,,,,,,
28,HIGO,,,,,,Y,X,X,X,Y,,,,
29,JUDÍA,,,,,,Y,X,Y,,,,,,
30,KIWI,X,X,X,Y,,,,,Y,X,X,X,,
31,LECHUGA,,,Y,X,X,X,X,X,X,,,,,
32,LIMÓN,X,X,X,X,Y,,,,,Y,X,X,,
33,LIMA,,,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,,,
35,MANDARINA,X,X,X,Y,,,,,,,Y,X,,
36,MANZANA,X,Y,,,,X,,Y,X,X,X,X,,
37,MELOCOTÓN,,,,,Y,X,X,X,X,Y,,,,
38,MELÓN,,,,,Y,X,X,X,X,Y,,,,
39,MORA,,,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,,,
41,NARANJA,X,X,X,X,Y,,,,,Y,X,X,,
42,NECTARINA,,,,Y,X,X,X,X,X,Y,,,,
43,PAPAYA,,,,,,,,,,,,,,
44,PATATA,,,,,X,X,X,X,X,X,,,,
45,PEPINO,,,,,Y,X,X,X,Y,,,,,
46,PERA,,,,,,Y,X,X,X,X,X,Y,,
47,PIMIENTO,,,,,Y,X,X,X,Y,,,,,
48,PIÑA,,,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,,,
50,POMELO,X,X,X,X,Y,,,,,,Y,X,,
51,PUERRO,,,,,Y,X,X,X,Y,,,,,
52,RÁBANO,,,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,,,
54,SANDÍA,,,,,Y,X,X,X,Y,,,,,
55,TOMATE,,,,,Y,X,X,X,Y,Y,Y,,,
56,UVA,,,,,,,,Y,X,X,Y,Y,,
57,ZANAHORIA,,,,Y,X,X,X,X,Y,,,,,
