PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,SCORE
ACELGA,X,X,X,X,Y,X,X,X,X,X,X,Y,8.71
AGUACATE,X,X,X,X,Y,,,,,Y,X,X,7.0
AJO,,,,,Y,Y,Y,,,,,,3.43
ALBARICOQUE,,,,,Y,X,Y,Y,,,,,3.0
ALCACHOFA,,,,Y,X,Y,,,,Y,Y,Y,3.92
APIO,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,5.2
BATATA,,,,,,,,,,X,X,,1.5
BERENJENA,,,,,,,X,X,X,Y,,,3.57
BRÓCOLI,Y,,,,Y,Y,,,,Y,X,Y,3.0
CALABACIN,,,,,,Y,X,X,Y,,,,2.86
CALABAZA,,,,,,,,,Y,X,,,2.5
CAQUÍ,,,,,,,,,,X,X,,2.5
CARDO,Y,Y,Y,,,,,,,Y,Y,Y,3.25
CEBOLLA,,,Y,Y,Y,Y,Y,X,X,X,Y,,5.5
CEREZA,,,,,X,X,,,,,,,2.1
CHAMPIÑÓN,,,,,,,,,,,X,,1.0
COL DE BRUSELAS,Y,Y,Y,Y,,,,,,,Y,Y,3.0
COL,Y,Y,Y,Y,,Y,Y,Y,,Y,X,Y,6.25
COLIFLOR,X,X,Y,Y,Y,,,,,Y,X,X,4.75
ESPÁRRAGO,,,Y,X,Y,,,,,,,,2.0
ESPINACA,X,X,Y,X,Y,Y,,Y,Y,Y,X,X,6.0
FRAMBUESA,,,,Y,X,X,X,X,X,,,,4.33
FRESA,,,,Y,X,Y,X,X,X,,,,4.2
GUISANTE,,,,X,X,Y,,,,,,,2.6
HABAS,,,,Y,Y,Y,,,,,,,1.5
HIGO,,,,,,,Y,X,X,,,,2.5
JUDÍAS,,,,,Y,X,X,Y,Y,,,,3.5
KIWI,X,X,X,Y,,,,,Y,X,X,X,5.67
LECHUGA,Y,Y,X,X,X,X,X,X,X,Y,Y,Y,7.75
LIMA,,,,,,,,Y,Y,Y,X,Y,4.25
LIMÓN,X,X,X,X,X,Y,,,,Y,X,X,7.67
MAIZ DULCE,,,,,,Y,Y,Y,X,Y,Y,,2.67
MANDARINA,Y,Y,Y,,,,,,,,X,Y,3.5
MANZANA,Y,,,,,,Y,Y,X,Y,X,Y,4.33
MELOCOTÓN,,,,,,,Y,X,X,,,,3.0
MELÓN,,,,,,Y,X,X,X,,,,3.0
MORA,,,,,,,Y,X,X,,,,2.5
NABO,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,4.5
NARANJA,Y,Y,Y,Y,,,,,,,X,Y,4.0
NECTARINA,,,,,Y,Y,Y,X,X,,,,4.0
PATATA,,,,,Y,Y,Y,Y,Y,Y,,,4.0
PEPINO,,,,,,X,X,X,Y,Y,,,3.44
PERA,,,,,,,Y,Y,X,Y,Y,,4.2
PIMIENTO,,,,,,Y,X,X,Y,Y,,,3.64
POMELO,Y,Y,Y,Y,,,,,,,,X,3.5
PUERRO,Y,Y,,,,,,Y,Y,Y,Y,Y,5.07
RÁBANO,,,,,,,,,,X,X,,2.0
REMOLACHA,Y,Y,Y,Y,,,Y,Y,Y,X,X,Y,5.9
SANDÍA,,,,,,Y,Y,X,Y,,,,2.25
TOMATE,,,,,,Y,X,X,X,X,,,4.25
UVA,,,,,,,,,X,Y,Y,,2.0
ZANAHORIA,Y,Y,Y,Y,Y,Y,Y,X,X,Y,Y,Y,6.19
